"imageName","image","N","mean_typicality","sd_typicality","se_typicality","category","category_plural","typicality_subjective","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"afghanhound","lib/images/afghanhound_600x600.jpg",41,2.24390243902439,1.31872074005223,0.205949578854483,"dog","dogs","atypical","afghan hound","afghanhound_mz_1","https://commons.wikimedia.org/wiki/File:Arabian_Hound_001_U.jpg","afghanhound","_600x600.jpg","afghanhound_600x600.jpg","../images/afghanhound_600x600.jpg"
"americancurl","lib/images/americancurl_600x600.jpg",41,4.17073170731707,0.946108847448068,0.147757377862058,"cat","cats","atypical","American Curl","americancurl_mz_1","https://commons.wikimedia.org/wiki/File:American_curl_fond_blanc.jpg","americancurl","_600x600.jpg","americancurl_600x600.jpg","../images/americancurl_600x600.jpg"
"angelfish","lib/images/angelfish_600x600.jpg",41,3.36585365853659,1.11256679711772,0.173753742058232,"fish","fish","typical","angelfish","angelfish_mz_2","https://www.pexels.com/photo/angel-fish-blueface-angel-coral-marine-fish-1699246/","angelfish","_600x600.jpg","angelfish_600x600.jpg","../images/angelfish_600x600.jpg"
"arabianmau","lib/images/arabianmau_600x600.jpg",41,4.17073170731707,0.946108847448068,0.147757377862058,"cat","cats","typical","mau","arabianmau_mz_1","https://commons.wikimedia.org/wiki/File:Arabian_Mau1.jpg","arabianmau","_600x600.jpg","arabianmau_600x600.jpg","../images/arabianmau_600x600.jpg"
"bass","lib/images/bass_600x600.jpg",41,4.1219512195122,1.07691972660964,0.168186604956676,"fish","fish","typical","bass","rockbass_boss","BOSS","bass","_600x600.jpg","bass_600x600.jpg","../images/bass_600x600.jpg"
"bassethound","lib/images/bassethound_600x600.jpg",41,2.70731707317073,1.20921260411526,0.188847281307799,"dog","dogs","atypical","basset hound","bassethound_boss","BOSS","bassethound","_600x600.jpg","bassethound_600x600.jpg","../images/bassethound_600x600.jpg"
"beagle","lib/images/beagle_600x600.jpg",41,4.51219512195122,0.840296115054455,0.131232205388435,"dog","dogs","typical","beagle","beagle_mz_4","https://commons.wikimedia.org/wiki/File:Beagle_1.jpg","beagle","_600x600.jpg","beagle_600x600.jpg","../images/beagle_600x600.jpg"
"bengal","lib/images/bengal_600x600.jpg",41,3.14634146341463,1.31455269216863,0.20529863913677,"cat","cats","typical","bengal","bengal_mz_4","https://commons.wikimedia.org/wiki/File:Brown_spotted_tabby_bengal_cat.jpg","bengal","_600x600.jpg","bengal_600x600.jpg","../images/bengal_600x600.jpg"
"betafish","lib/images/betafish_600x600.jpg",41,2.73170731707317,1.39686059153916,0.218152973414614,"fish","fish","atypical","beta  fish","betafish_mz_1","https://commons.wikimedia.org/wiki/File:Male_Betta_-34245661920.jpg","betafish","_600x600.jpg","betafish_600x600.jpg","../images/betafish_600x600.jpg"
"bluegill","lib/images/bluegill_600x600.jpg",41,4.14634146341463,0.988963487944729,0.154450148282805,"fish","fish","typical","bluegill","bluegill_mz","https://commons.wikimedia.org/wiki/File:Bluegill_(fish).jpg","bluegill","_600x600.jpg","bluegill_600x600.jpg","../images/bluegill_600x600.jpg"
"bluejay","lib/images/bluejay_600x600.jpg",41,3.31707317073171,1.33114658077621,0.207890169144976,"bird","birds","typical","bluejay","bluejay_boss","BOSS","bluejay","_600x600.jpg","bluejay_600x600.jpg","../images/bluejay_600x600.jpg"
"bluetang","lib/images/bluetang_600x600.jpg",41,2.75609756097561,1.19959342705931,0.187345018240698,"fish","fish","typical","blue tang","bluetang_mz_2","https://unsplash.com/photos/9FvTOCfvt_w","bluetang","_600x600.jpg","bluetang_600x600.jpg","../images/bluetang_600x600.jpg"
"britishshorthair","lib/images/britishshorthair_600x600.jpg",41,4.07317073170732,0.754660317707213,0.117858140764386,"cat","cats","typical","british shorthair","britishshorthair_mz_2","https://commons.wikimedia.org/wiki/File:British_Shorthair._Female._18_months_old.jpg","britishshorthair","_600x600.jpg","britishshorthair_600x600.jpg","../images/britishshorthair_600x600.jpg"
"burmese","lib/images/burmese_600x600.jpg",41,3.4390243902439,1.14124450683902,0.178232447867757,"cat","cats","typical","burmese","burmese_hw","https://pixabay.com/photos/animals-cute-cat-pet-breed-burmese-3273782/","burmese","_600x600.jpg","burmese_600x600.jpg","../images/burmese_600x600.jpg"
"cardinal","lib/images/cardinal_600x600.jpg",41,4.02439024390244,1.03652797545577,0.161878473229708,"bird","birds","typical","cardinal","cardinal_mz_2","https://unsplash.com/photos/BxmvI3hutWs","cardinal","_600x600.jpg","cardinal_600x600.jpg","../images/cardinal_600x600.jpg"
"catfish","lib/images/catfish_600x600.jpg",41,3.73170731707317,1.11857923822817,0.174692727604585,"fish","fish","atypical","catfish","catfish_hw","https://commons.wikimedia.org/wiki/File:Blue_catfish_tenn_aquarium.JPG","catfish","_600x600.jpg","catfish_600x600.jpg","../images/catfish_600x600.jpg"
"cedarwaxwing","lib/images/cedarwaxwing_600x600.jpg",41,3.80487804878049,1.18784494348214,0.185510213363965,"bird","birds","typical","cedar wax wing","cedarwaxwing_boss","BOSS","cedarwaxwing","_600x600.jpg","cedarwaxwing_600x600.jpg","../images/cedarwaxwing_600x600.jpg"
"chartreux","lib/images/chartreux_600x600.jpg",41,3.97560975609756,0.935088361547955,0.146036267121197,"cat","cats","typical","chartreux","chartreux_mz_2","https://www.pexels.com/photo/animals-cat-chartreux-mieze-357182/","chartreux","_600x600.jpg","chartreux_600x600.jpg","../images/chartreux_600x600.jpg"
"chihuahua","lib/images/chihuahua_600x600.jpg",41,3.39024390243902,1.04589791042166,0.163341811221983,"dog","dogs","atypical","chihuahua","chihuahua_mz_4","https://www.pxfuel.com/en/free-photo-ojhbm","chihuahua","_600x600.jpg","chihuahua_600x600.jpg","../images/chihuahua_600x600.jpg"
"clownfish","lib/images/clownfish_600x600.jpg",41,4.09756097560976,1.06782203687648,0.166765784526553,"fish","fish","typical","clownfish","clownfish_mz","https://unsplash.com/photos/rEM3cK8F1pk","clownfish","_600x600.jpg","clownfish_600x600.jpg","../images/clownfish_600x600.jpg"
