"model","fixed_effect","sample_size","nsims","power"
"2",0.0125,40,1000,0.064
"2",0.025,40,1000,0.173
"2",0.03,40,1000,0.257
"2",0.04,40,1000,0.412
"2",0.05,40,1000,0.597
"2",0.0125,60,1000,0.082
"2",0.025,60,1000,0.252
"2",0.03,60,1000,0.363
"2",0.04,60,1000,0.557
"2",0.05,60,1000,0.741
"2",0.0125,68,1000,0.095
"2",0.025,68,1000,0.3
"2",0.03,68,1000,0.417
"2",0.04,68,1000,0.616
"2",0.05,68,1000,0.82
"2",0.0125,70,1000,0.091
"2",0.025,70,1000,0.297
"2",0.03,70,1000,0.4
"2",0.04,70,1000,0.609
"2",0.05,70,1000,0.834
"2",0.0125,80,1000,0.107
"2",0.025,80,1000,0.315
"2",0.03,80,1000,0.432
"2",0.04,80,1000,0.71
"2",0.05,80,1000,0.888
"2",0.0125,100,1000,0.125
"2",0.025,100,1000,0.408
"2",0.03,100,1000,0.59
"2",0.04,100,1000,0.781
"2",0.05,100,1000,0.928
