"simulation_num","model","fixed_effect","sample_size","nsims","power"
1,"3.2_age",0.025,80,100,0.06
1,"3.2_age",0.05,80,100,0.32
2,"3.2_age",0.025,80,100,0.05
2,"3.2_age",0.05,80,100,0.25
3,"3.2_age",0.025,80,100,0.08
3,"3.2_age",0.05,80,100,0.22
4,"3.2_age",0.025,80,100,0.08
4,"3.2_age",0.05,80,100,0.26
5,"3.2_age",0.025,80,100,0.08
5,"3.2_age",0.05,80,100,0.29
6,"3.2_age",0.025,80,100,0.08
6,"3.2_age",0.05,80,100,0.29
7,"3.2_age",0.025,80,100,0.05
7,"3.2_age",0.05,80,100,0.3
8,"3.2_age",0.025,80,100,0.1
8,"3.2_age",0.05,80,100,0.28
9,"3.2_age",0.025,80,100,0.09
9,"3.2_age",0.05,80,100,0.22
10,"3.2_age",0.025,80,100,0.09
10,"3.2_age",0.05,80,100,0.33
11,"3.2_age",0.025,80,100,0.07
11,"3.2_age",0.05,80,100,0.28
12,"3.2_age",0.025,80,100,0.1
12,"3.2_age",0.05,80,100,0.21
13,"3.2_age",0.025,80,100,0.1
13,"3.2_age",0.05,80,100,0.28
14,"3.2_age",0.025,80,100,0.1
14,"3.2_age",0.05,80,100,0.21
15,"3.2_age",0.025,80,100,0.11
15,"3.2_age",0.05,80,100,0.27
16,"3.2_age",0.025,80,100,0.11
16,"3.2_age",0.05,80,100,0.24
17,"3.2_age",0.025,80,100,0.19
17,"3.2_age",0.05,80,100,0.23
18,"3.2_age",0.025,80,100,0.1
18,"3.2_age",0.05,80,100,0.36
19,"3.2_age",0.025,80,100,0.13
19,"3.2_age",0.05,80,100,0.27
20,"3.2_age",0.025,80,100,0.09
20,"3.2_age",0.05,80,100,0.35
21,"3.2_age",0.025,80,100,0.07
21,"3.2_age",0.05,80,100,0.3
22,"3.2_age",0.025,80,100,0.08
22,"3.2_age",0.05,80,100,0.32
23,"3.2_age",0.025,80,100,0.13
23,"3.2_age",0.05,80,100,0.25
24,"3.2_age",0.025,80,100,0.1
24,"3.2_age",0.05,80,100,0.28
25,"3.2_age",0.025,80,100,0.08
25,"3.2_age",0.05,80,100,0.28
26,"3.2_age",0.025,80,100,0.12
26,"3.2_age",0.05,80,100,0.28
27,"3.2_age",0.025,80,100,0.13
27,"3.2_age",0.05,80,100,0.33
28,"3.2_age",0.025,80,100,0.05
28,"3.2_age",0.05,80,100,0.21
29,"3.2_age",0.025,80,100,0.09
29,"3.2_age",0.05,80,100,0.26
30,"3.2_age",0.025,80,100,0.13
30,"3.2_age",0.05,80,100,0.31
31,"3.2_age",0.025,80,100,0.13
31,"3.2_age",0.05,80,100,0.3
32,"3.2_age",0.025,80,100,0.1
32,"3.2_age",0.05,80,100,0.22
33,"3.2_age",0.025,80,100,0.06
33,"3.2_age",0.05,80,100,0.44
34,"3.2_age",0.025,80,100,0.04
34,"3.2_age",0.05,80,100,0.3
35,"3.2_age",0.025,80,100,0.12
35,"3.2_age",0.05,80,100,0.22
36,"3.2_age",0.025,80,100,0.09
36,"3.2_age",0.05,80,100,0.34
37,"3.2_age",0.025,80,100,0.14
37,"3.2_age",0.05,80,100,0.32
38,"3.2_age",0.025,80,100,0.04
38,"3.2_age",0.05,80,100,0.25
39,"3.2_age",0.025,80,100,0.08
39,"3.2_age",0.05,80,100,0.26
40,"3.2_age",0.025,80,100,0.11
40,"3.2_age",0.05,80,100,0.34
41,"3.2_age",0.025,80,100,0.15
41,"3.2_age",0.05,80,100,0.22
42,"3.2_age",0.025,80,100,0.12
42,"3.2_age",0.05,80,100,0.28
43,"3.2_age",0.025,80,100,0.09
43,"3.2_age",0.05,80,100,0.18
44,"3.2_age",0.025,80,100,0.09
44,"3.2_age",0.05,80,100,0.21
45,"3.2_age",0.025,80,100,0.1
45,"3.2_age",0.05,80,100,0.36
46,"3.2_age",0.025,80,100,0.11
46,"3.2_age",0.05,80,100,0.27
47,"3.2_age",0.025,80,100,0.11
47,"3.2_age",0.05,80,100,0.23
48,"3.2_age",0.025,80,100,0.07
48,"3.2_age",0.05,80,100,0.32
49,"3.2_age",0.025,80,100,0.08
49,"3.2_age",0.05,80,100,0.31
50,"3.2_age",0.025,80,100,0.05
50,"3.2_age",0.05,80,100,0.28
