columns,description,values
file_name,name of the peyecoder manual coding file containing looking data (used internally),
sub_num,participants' unique identifier,
session,whether the data is from the participants' first or second session,1 or 2
coder_initials,initials of the researcher who manually coded looking behavior,
trial_order,the trial order (8 different trial orders),"order1A, order1A-locationflip, order1B, order1B-locationflip, order2A, order2A-locationflip, order2B, order2B-locationflip"
trial_number,"the trial number (5,10,15,20,25 were attention-getter trials and are removed from the dataset)","1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19,21,22,23,24,26,27,28,29"
prescreen_notes,notes recorded by manual coders while reviewing gaze behavior,
left_image,the left image,
center_image,"optional third location, not used in the current trials",
right_image,the right image,
target_side,which side of the screen the target image is located,
condition,"the condition the trial belongs to, either involving typical exemplars or atypical exemplars of the target/ distractor categories","typical, atypical"
time,peyecoder-internal timing code,
time_centered,re-centered peyecoder-internal timing code,
frame_number,the frame number of the video,
response,the looking location as judged by the manual coder,"off, right, left"
accuracy,"whether the look is to the target or not (with ""."" recorded when the look is ""off"")",".,0,1"
frame_count,total frames in the trial trial,
frame_counter_ns,running count of the number of frames with a given trial,
frame_counter,running count of the number of frames with a given trial,
total_frame_count,total frames in the trial trial,
response_uuid,unique session id (from Lookit),
study_uuid,unique study id (from Lookit),
child_hashed_id,child's study-specific id on Lookit,
child_gender,"child's gender, as reported by parents on Lookit","f,m"
child_age_at_birth,"children's gestational age, as reported by parents on Lookit",
child_language_list,"r, as reported by parents on Lookit",
child_condition_list,"r, as reported by parents on Lookit",
lookit_session_date,the date of the session on lookit,
session_1_data,whether the child contributed session 1 data,
session_2_data,whether the child contributed session 2 data,
session_2_survey,whether there is a parent-report survey for the participant,
coder_1,first coder,
coder_2,second coder (for a subset of files),
parents_eyes_open,whether the parents' eyes were open at any point during the experiment trials,
coder_notes,,
age,,
age_mo,,
demographic_number_of_children,,
demographic_number_of_guardians,,
demographic_us_race_ethnicity_identification,,
demographic_parent_age,,
demographic_parent_gender,,
demographic_education_level,,
demographic_annual_income,,
demographic_country,,
demographic_state,,
demographic_density,,
days_between_sessions,,
trial,,
framerate,,
framecount,,
file,,
frame_count_discrepancy,,
ms_per_frame,,
corrected_time,,
corrected_time_centered,,
accuracy_transformed,,
frame_id,,
pauseStudy,,
resumeStudy,,
video_capture_time,,
audio_time,,
audio_lag_vs_video,,
audio_lag_vs_display_images,,
audio_lag_vs_start_timer,,
video_end_minus_audio_end,,
pause_time,,
audio_time_s,,
audio_lag_vs_video_s,,
audio_end_minus_video_end_s,,
audio_lag_vs_display_images_s,,
audio_lag_vs_start_timer_s,,
videoId,,
overall_trial_number,,
left_image_frame_info,,
right_image_frame_info,,
audio,,
frame_duration,,
time_normalized_corrected,,
left_image_category,,
left_image_typicality_z,,
left_image_typicality_within_category_z,,
right_image_category,,
right_image_typicality_z,,
right_image_typicality_within_category_z,,
target_category,,
distractor_category,,
target_typicality_z,,
distractor_typicality_z,,
target_typicality_within_category_z,,
distractor_typicality_within_category_z,,
target_image,,
distractor_image,,
left_image_parent_typicality_rating,,
right_image_parent_typicality_rating,,
target_parent_typicality_rating,,
distractor_parent_typicality_rating,,
left_image_parent_typicality_rating_z,,
right_image_parent_typicality_rating_z,,
target_parent_typicality_rating_z,,
distractor_parent_typicality_rating_z,,
left_image_parent_typicality_by_category_z,,
right_image_parent_typicality_by_category_z,,
target_parent_typicality_by_category_z,,
distractor_parent_typicality_by_category_z,,
dev_concern,,
age_exclusion,,
number_distinct_sessions,,
total_trials,,
total_trials_critical_window,,
total_trials_short,,
exclude_participant_insufficient_data,,
exclude_participant_insufficient_data_critical,,
exclude_participant_insufficient_data_short,,
num_useable_trials,,
num_useable_trials_critical_window,,
num_useable_trials_short,,
length_critical_window,,
useable_frames_critical_window,,
percent_useable_critical_window,,
useable_critical_window,,
mean_target_looking_critical,,
length_critical_window_short,,
useable_frames_critical_window_short,,
percent_useable_critical_window_short,,
useable_critical_window_short,,
mean_target_looking_critical_short,,
length_baseline_window,,
useable_frames_baseline_window,,
percent_useable_baseline_window,,
useable_baseline_window,,
mean_target_looking_baseline,,
percent_right_looking,,
percent_left_looking,,
side_bias_right,,
side_bias_left,,
useable_window,whether there is sufficient looking within a given trial (>=50% looking in both the baseline and critical window) (1=useable),"1,0"
useable_window_short,"whether there is sufficient looking within a given trial (>=50% looking in both the baseline and critical window, using the alternate 300-1800ms critical window) (1=useable)",
corrected_target_looking,baseline-corrected proportion target looking for the given trial,
corrected_target_looking_short,baseline-corrected proportion target looking for the given trial using the alternate critical window of 300-1800ms,
exclude_technical_issue,"whether the trial should be excluded due to a technical issue (e.g. parent paused the study, unusual logged times)  (0=include, 1=exclude)","0,1"
technical_issue_exclusion_reason,a short description of the type of technical issue,
exclude_frame_rate,"whether the trial should be excluded because of a low frame rate  (0=include, 1=exclude)","0,1"
trial_exclusion,"whether the trial should be excluded based on our main exclusion criteria  (0=include, 1=exclude)","0,1"
trial_exclusion_reason,a short description of the reason for excluding the trial,
preterm_infant_exclusion,"whether the child should be excluded as preterm (0=include, 1=exclude)","0,1"
non_english_exposure_exclusion,"whether the child should be excluded because they did not have exposure to English (0=include, 1=exclude)","0,1"
dev_concern_exclusion,"whether the child should be excluded based on a developmental concern (0=include, 1=exclude)","0,1"
side_bias_exclusion,"whether the child should be excluded based on the preregistered side bias exclusion criterion (0=include, 1=exclude)","0,1"
exclude_participant,"whether the participant is excluded in the main analysis (0=include, 1=exclude)","0,1"
