sub_num,session,trial_number,rt,shift_start_rt,shift_type,shift_length
CAT_201,1,1,350,325,T-D,25
CAT_201,1,2,100,50,T-D,50
CAT_201,1,3,275,200,T-D,75
CAT_201,1,4,2050,1900,T-D,150
CAT_201,1,6,175,125,T-D,50
CAT_201,1,7,400,350,T-D,50
CAT_201,1,8,1700,1675,T-D,25
CAT_201,1,9,425,400,D-T,25
CAT_201,1,11,1175,1150,D-T,25
CAT_201,1,12,1225,1175,T-D,50
CAT_201,1,13,NA,NA,other,NA
CAT_201,1,14,575,550,T-D,25
CAT_201,1,16,1000,925,D-T,75
CAT_201,1,17,625,575,T-D,50
CAT_201,1,18,550,550,T-D,0
CAT_201,1,19,500,475,D-T,25
CAT_201,1,21,1000,850,T-D,150
CAT_201,1,22,250,175,T-D,75
CAT_201,1,23,NA,NA,other,NA
CAT_201,1,24,575,550,D-T,25
CAT_201,1,26,325,325,T-D,0
CAT_201,1,27,175,100,T-D,75
CAT_201,1,28,NA,NA,other,NA
CAT_201,1,29,400,350,T-D,50
CAT_201,2,1,NA,NA,other,NA
CAT_201,2,2,775,700,D-T,75
CAT_201,2,3,NA,NA,other,NA
CAT_201,2,4,NA,NA,other,NA
CAT_201,2,6,1900,1825,T-D,75
CAT_201,2,7,175,125,D-T,50
CAT_201,2,8,625,625,D-T,0
CAT_201,2,9,700,475,T-D,225
CAT_201,2,11,325,250,D-T,75
CAT_201,2,12,700,625,D-T,75
CAT_201,2,13,1550,1475,T-D,75
CAT_201,2,14,200,175,T-D,25
CAT_201,2,16,100,50,D-T,50
CAT_201,2,17,325,275,D-T,50
CAT_201,2,18,925,800,D-T,125
CAT_201,2,19,175,50,D-T,125
CAT_201,2,21,700,625,D-T,75
CAT_201,2,22,475,425,T-D,50
CAT_201,2,23,125,100,D-T,25
CAT_201,2,24,250,175,D-T,75
CAT_201,2,26,700,625,D-T,75
CAT_201,2,27,NA,NA,other,NA
CAT_201,2,28,1000,925,T-D,75
CAT_201,2,29,725,500,D-T,225
CAT_202,1,1,700,700,D-T,0
CAT_202,1,3,200,125,D-T,75
CAT_202,1,6,1100,1075,D-T,25
CAT_202,1,7,1075,1025,T-D,50
CAT_202,1,8,475,425,D-T,50
CAT_202,1,9,NA,NA,other,NA
CAT_202,1,11,100,100,T-D,0
CAT_202,1,12,925,775,D-T,150
CAT_202,1,13,NA,NA,other,NA
CAT_202,1,14,500,475,D-T,25
CAT_202,1,17,1100,1075,T-D,25
CAT_202,1,21,550,475,T-D,75
CAT_202,1,22,NA,NA,other,NA
CAT_202,1,26,1550,1525,D-T,25
CAT_202,1,27,NA,NA,other,NA
CAT_202,1,28,NA,NA,other,NA
CAT_202,1,29,NA,NA,other,NA
CAT_202,2,1,1300,1250,T-D,50
CAT_202,2,2,NA,NA,other,NA
CAT_202,2,3,250,250,D-T,0
CAT_202,2,4,NA,NA,other,NA
CAT_202,2,6,350,325,T-D,25
CAT_202,2,7,NA,NA,other,NA
CAT_202,2,8,NA,NA,no shift,NA
CAT_202,2,9,NA,NA,other,NA
CAT_202,2,11,2750,475,T-D,2275
CAT_202,2,12,NA,NA,other,NA
CAT_202,2,13,275,200,D-T,75
CAT_202,2,14,NA,NA,other,NA
CAT_202,2,16,NA,NA,other,NA
CAT_202,2,18,550,500,T-D,50
CAT_202,2,19,200,175,D-T,25
CAT_202,2,21,625,475,D-T,150
CAT_202,2,23,NA,NA,no shift,NA
