sub_num,number_distinct_sessions,total_trials,total_trials_critical_window,total_trials_short,exclude_participant_insufficient_data,exclude_participant_insufficient_data_critical,exclude_participant_insufficient_data_short,num_useable_trials_session_1,num_useable_trials_session_2,exclude_participant,preterm_infant_exclusion,non_english_exposure_exclusion,dev_concern_exclusion,side_bias_exclusion
CAT_201,2,47,47,47,0,0,0,23,24,0,0,0,0,0
CAT_202,2,18,18,18,1,1,1,9,9,1,0,0,0,0
CAT_203,2,29,29,29,0,0,0,13,16,0,0,0,0,0
CAT_204,2,16,16,15,1,1,1,4,12,1,0,0,0,0
CAT_205,2,22,22,21,1,1,1,1,21,1,0,0,0,0
CAT_206,2,39,39,39,0,0,0,23,16,0,0,0,0,0
CAT_208,2,35,35,34,0,0,0,14,21,0,0,0,0,0
CAT_209,2,37,37,37,0,0,0,17,20,0,0,0,0,0
CAT_210,2,0,0,0,1,1,1,5,NA,1,0,0,0,0
CAT_211,2,42,42,42,0,0,0,22,20,0,0,0,0,0
CAT_212,2,19,19,19,1,1,1,11,8,1,0,0,0,0
CAT_213,2,38,38,38,0,0,0,18,20,0,0,0,0,0
CAT_214,2,0,0,0,1,1,1,16,NA,1,0,0,0,0
CAT_215,2,41,41,41,0,0,0,20,21,0,0,0,0,0
CAT_216,1,7,7,7,1,1,1,7,NA,1,0,0,0,0
CAT_217,1,21,21,20,1,1,1,21,NA,1,0,0,0,0
CAT_218,2,0,0,0,1,1,1,NA,12,1,0,0,0,0
CAT_219,1,15,15,15,1,1,1,15,NA,1,0,0,0,0
CAT_220,2,20,20,20,1,1,1,9,11,1,0,0,0,0
CAT_222,2,38,38,38,0,0,0,18,20,0,0,0,0,0
CAT_223,2,36,36,34,0,0,0,17,19,0,0,0,0,0
CAT_224,2,10,10,9,1,1,1,4,6,1,0,0,0,0
CAT_225,2,46,46,46,0,0,0,22,24,0,0,0,0,0
CAT_226,2,40,40,39,0,0,0,22,18,0,0,0,0,0
CAT_227,1,23,23,23,1,1,1,23,NA,1,0,0,0,0
CAT_228,1,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,NA
CAT_229,1,18,18,18,1,1,1,18,NA,1,0,0,0,0
CAT_230,2,42,42,41,0,0,0,23,19,0,0,0,0,0
CAT_231,2,40,40,40,0,0,0,18,22,0,0,0,0,0
CAT_232,1,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_233,2,33,33,33,0,0,0,17,16,0,0,0,0,0
CAT_234,2,36,36,36,0,0,0,16,20,0,0,0,0,0
CAT_235,2,41,41,41,0,0,0,18,23,0,0,0,0,0
CAT_236,2,39,39,39,0,0,0,19,20,0,0,0,0,0
CAT_237,2,0,0,0,1,1,1,NA,21,1,0,0,0,0
CAT_238,1,24,24,24,0,0,0,24,NA,0,0,0,0,0
CAT_239,2,30,30,30,0,0,0,13,17,0,0,0,0,0
CAT_240,2,24,24,24,0,0,0,1,23,0,0,0,0,0
CAT_241,1,20,20,20,1,1,1,20,NA,1,0,0,0,0
CAT_242,2,0,0,0,1,1,1,NA,11,1,0,0,0,0
CAT_243,2,41,41,41,0,0,0,24,17,0,0,0,0,0
CAT_244,2,38,38,37,0,0,0,17,21,0,0,0,0,0
CAT_245,2,16,16,16,1,1,1,12,4,1,0,0,0,0
CAT_246,2,39,39,39,0,0,0,18,21,0,0,0,0,0
CAT_247,2,14,14,14,1,1,1,7,7,1,0,0,0,0
CAT_248,2,33,33,33,0,0,0,10,23,0,0,0,0,0
CAT_249,1,22,22,22,1,1,1,22,NA,1,0,0,0,0
CAT_250,1,21,21,21,1,1,1,21,NA,1,0,0,0,0
CAT_251,2,32,32,30,0,0,0,17,15,0,0,0,0,0
CAT_252,2,42,42,42,0,0,0,21,21,0,0,0,0,0
CAT_253,2,46,46,46,0,0,0,22,24,0,0,0,0,0
CAT_254,1,24,24,24,0,0,0,24,NA,0,0,0,0,0
CAT_255,2,29,29,29,0,0,0,9,20,0,0,0,0,0
CAT_256,2,33,33,32,0,0,0,17,16,0,0,0,0,0
CAT_257,2,23,23,23,1,1,1,12,11,1,0,0,0,0
CAT_258,2,30,30,30,0,0,0,21,9,0,0,0,0,0
CAT_259,1,3,3,3,1,1,1,3,NA,1,0,0,0,0
CAT_260,2,34,34,31,0,0,0,19,15,0,0,0,0,0
CAT_261,2,44,44,43,0,0,0,21,23,0,0,0,0,0
CAT_262,2,46,46,46,0,0,0,24,22,0,0,0,0,0
CAT_263,2,33,33,33,0,0,0,9,24,0,0,0,0,0
CAT_264,2,0,0,0,1,1,1,NA,NA,1,NA,NA,NA,NA
CAT_265,2,48,48,48,0,0,0,24,24,0,0,0,0,0
CAT_266,2,46,46,46,0,0,0,22,24,0,0,0,0,0
CAT_267,2,47,47,47,0,0,0,24,23,0,0,0,0,0
CAT_268,2,44,44,43,0,0,0,20,24,0,0,0,0,0
CAT_269,2,25,25,23,0,0,1,13,12,0,0,0,0,0
CAT_270,2,32,32,30,0,0,0,10,22,0,0,0,0,0
CAT_271,2,40,40,40,0,0,0,21,19,0,0,0,0,0
CAT_272,2,12,12,12,1,1,1,1,11,1,0,0,0,0
CAT_273,2,31,31,31,0,0,0,13,18,0,0,0,0,0
CAT_274,2,48,48,47,0,0,0,24,24,0,0,0,0,0
CAT_275,2,34,34,34,0,0,0,14,20,0,0,0,0,0
CAT_276,1,2,2,2,1,1,1,2,NA,1,0,0,0,0
CAT_277,2,32,32,32,0,0,0,17,15,0,0,0,0,0
CAT_278,2,40,40,39,0,0,0,23,17,0,0,0,0,0
CAT_279,2,0,0,0,1,1,1,NA,9,1,0,0,0,0
CAT_280,1,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_281,2,0,0,0,1,1,1,NA,20,1,0,0,0,0
CAT_282,2,27,27,27,0,0,0,16,11,0,0,0,0,0
CAT_283,2,27,27,27,0,0,0,16,11,0,0,0,0,0
CAT_284,2,37,37,36,0,0,0,18,19,0,0,0,0,0
CAT_285,2,25,25,24,0,0,0,6,19,0,0,0,0,0
CAT_286,2,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_287,1,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_288,1,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_289,1,24,24,24,0,0,0,24,NA,0,0,0,0,0
CAT_290,1,19,19,18,1,1,1,19,NA,1,0,0,0,0
CAT_291,1,2,2,2,1,1,1,2,NA,1,0,0,0,0
CAT_292,2,24,24,21,0,0,1,11,13,0,0,0,0,0
CAT_293,2,21,21,21,1,1,1,11,10,1,0,0,0,0
CAT_294,1,10,10,9,1,1,1,10,NA,1,0,0,0,0
CAT_295,2,12,12,12,1,1,1,7,5,1,0,0,0,0
CAT_296,1,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_297,2,42,42,42,0,0,0,21,21,0,0,0,0,0
CAT_298,2,47,47,47,0,0,0,23,24,0,0,0,0,0
CAT_299,2,31,31,31,0,0,0,10,21,0,0,0,0,0
CAT_300,2,40,40,39,0,0,0,18,22,0,0,0,0,0
CAT_301,2,0,0,0,1,1,1,NA,16,1,0,0,0,0
CAT_302,2,47,47,47,0,0,0,24,23,0,0,0,0,0
CAT_303,2,41,41,41,0,0,0,21,20,0,0,0,0,0
CAT_304,2,37,37,36,0,0,0,13,24,0,0,0,0,0
CAT_305,1,24,24,24,0,0,0,24,NA,0,0,0,0,0
CAT_306,2,27,27,27,0,0,0,11,16,0,0,0,0,0
CAT_307,2,33,33,33,0,0,0,16,17,0,0,0,0,0
CAT_308,1,5,5,5,1,1,1,5,NA,1,0,0,0,0
CAT_309,2,30,30,30,0,0,0,13,17,0,0,0,0,0
CAT_310,1,23,23,22,1,1,1,23,NA,1,0,0,0,0
CAT_311,2,46,46,46,0,0,0,23,23,0,0,0,0,0
CAT_312,1,17,17,17,1,1,1,17,NA,1,0,0,0,0
CAT_313,2,11,11,11,1,1,1,7,4,1,0,0,0,0
CAT_314,2,29,29,29,0,0,0,12,17,0,0,0,0,0
CAT_316,2,40,40,40,0,0,0,22,18,0,0,0,0,0
CAT_317,2,44,44,44,0,0,0,23,21,0,0,0,0,0
CAT_318,2,5,5,5,1,1,1,3,2,1,0,0,0,0
CAT_319,1,21,21,21,1,1,1,21,NA,1,0,0,0,0
CAT_320,2,15,15,14,1,1,1,9,6,1,0,0,0,0
CAT_321,2,28,28,27,0,0,0,14,14,0,0,0,0,0
CAT_322,2,16,16,15,1,1,1,12,4,1,0,0,0,0
CAT_323,2,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_324,2,35,35,33,0,0,0,13,22,0,0,0,0,0
CAT_325,1,22,22,22,1,1,1,22,NA,1,0,0,0,0
CAT_326,2,35,35,35,0,0,0,21,14,0,0,0,0,0
CAT_327,2,0,0,0,1,1,1,NA,NA,1,0,0,0,0
CAT_328,2,47,47,47,0,0,0,24,23,0,0,0,0,0
CAT_329,2,46,46,46,0,0,0,22,24,0,0,0,0,0
CAT_330,2,37,37,36,0,0,0,18,19,0,0,0,0,0
CAT_331,2,37,37,37,0,0,0,17,20,0,0,0,0,0
CAT_332,2,0,0,0,1,1,1,NA,18,1,0,0,0,0
CAT_333,2,16,16,16,1,1,1,7,9,1,0,0,0,0
CAT_334,2,34,34,33,0,0,0,13,21,0,0,0,0,0
CAT_335,1,23,23,23,1,1,1,23,NA,1,0,0,0,0
CAT_336,2,43,43,43,0,0,0,19,24,0,0,0,0,0
CAT_337,2,0,0,0,1,1,1,NA,12,1,0,0,0,0
CAT_338,2,21,21,20,1,1,1,7,14,1,0,0,0,0
CAT_339,2,28,28,28,0,0,0,10,18,0,0,0,0,0
CAT_340,1,17,17,17,1,1,1,17,NA,1,0,0,0,0
CAT_341,2,46,46,46,0,0,0,22,24,0,0,0,0,0
CAT_342,1,15,15,15,1,1,1,15,NA,1,0,0,0,0
CAT_343,2,41,41,41,0,0,0,19,22,0,0,0,0,0
CAT_344,2,41,41,40,0,0,0,20,21,0,0,0,0,0
CAT_345,2,45,45,45,0,0,0,23,22,0,0,0,0,0
CAT_346,2,35,35,34,0,0,0,17,18,0,0,0,0,0
