image_1,image_2,distance
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/vulture_600x600.jpg,0.741
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/turkey_600x600.jpg,0.755
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/toucan_600x600.jpg,0.799
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/siberian_600x600.jpg,0.593
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/sturgeon_600x600.jpg,0.729
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/toyger_600x600.jpg,0.544
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/stingray_600x600.jpg,0.769
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/siamese_600x600.jpg,0.781
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/tabby_600x600.jpg,0.544
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/sparrow_600x600.jpg,0.754
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/sphynx_600x600.jpg,0.652
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/shorthair_calico_600x600.jpg,0.661
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/sheepdog_600x600.jpg,0.583
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/sergeantmajor_600x600.jpg,0.853
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/puffin_600x600.jpg,0.772
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/seahorse_600x600.jpg,0.779
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/sandcat_600x600.jpg,0.54
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/seagull_600x600.jpg,0.776
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/salmon_600x600.jpg,0.806
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/saintbernard_600x600.jpg,0.67
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/pufferfish_600x600.jpg,0.735
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/rottweiler_600x600.jpg,0.605
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/robin_600x600.jpg,0.728
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/pug_600x600.jpg,0.649
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/pigeon_600x600.jpg,0.764
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/pelican_600x600.jpg,0.728
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/husky_600x600.jpg,0.602
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/peacock_600x600.jpg,0.858
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/parrot_600x600.jpg,0.813
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/heron_600x600.jpg,0.816
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/owl_600x600.jpg,0.668
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/greyhound_600x600.jpg,0.833
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/oriental_600x600.jpg,0.659
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/lionfish_600x600.jpg,0.646
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/goldfish_600x600.jpg,0.775
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/labrador_600x600.jpg,0.717
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/kookaburra_600x600.jpg,0.704
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/koi_600x600.jpg,0.78
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/cornishrex_600x600.jpg,0.69
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/kingfisher_600x600.jpg,0.757
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/goldenretriever_600x600.jpg,0.573
/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/yorkshireterrier_600x600.jpg,/content/drive/My Drive/CATegories/stimuli/sets/open_source_images/final_images/resized_white/goldfinch_600x600.jpg,0.81
