Trial	Framerate	Framecount
4	22.3018	361
4	21.4490	352
10	21.7846	198
11	21.6075	157
12	22.2926	162
13	23.4031	170
14	23.0396	166
15	22.1852	160
16	23.0620	166
17	23.2879	169
18	22.7241	165
19	21.7725	156
20	21.8948	159
21	22.6452	163
22	22.7968	164
23	21.9159	159
24	22.5833	164
25	22.9071	165
26	22.7113	162
27	21.3410	155
28	22.3048	162
29	23.3966	170
30	22.7588	164
31	21.4817	156
32	23.0396	166
33	22.2803	162
34	23.3301	168
35	22.0446	160
36	22.6357	163
37	22.3233	162
38	22.6737	125
39	22.7746	164
