Trial	Framerate	Framecount
4	15.0805	119
4	15.0550	163
4	15.1054	119
10	15.1027	136
11	15.1536	110
12	15.1621	109
13	15.1557	109
14	15.1494	110
15	15.1747	109
16	15.1599	109
17	15.1578	110
18	15.1599	110
19	15.1640	110
20	15.1389	109
21	15.1452	109
22	15.1515	110
23	15.1705	109
24	15.1684	109
25	15.1515	109
26	15.1494	109
27	15.1389	109
28	15.1620	110
29	15.1452	109
30	15.1663	109
31	15.1599	109
32	15.1661	110
33	15.1578	110
34	15.1453	110
35	15.1452	109
36	15.1599	109
37	15.1515	110
38	15.1661	110
39	15.1599	109
