Trial	Framerate	Framecount
4	15.0705	231
4	28.0725	291
10	29.7117	271
11	29.6276	218
12	29.6226	219
13	29.6124	217
14	29.6236	218
15	29.6316	218
16	29.6155	218
17	29.7505	217
18	29.6346	219
19	29.6266	219
20	29.6236	218
21	29.6236	218
22	29.6266	219
23	29.6236	218
24	29.6205	217
25	29.6196	218
26	29.6196	218
27	29.6226	219
28	29.6387	219
29	29.6124	217
30	29.6236	218
31	29.6256	216
32	29.6186	219
33	29.6226	219
34	29.6266	219
35	29.6134	216
36	29.7382	217
37	29.7489	218
38	29.6196	218
39	29.6186	219
