Trial	Framerate	Framecount
4	30.1162	298
4	30.0907	292
10	30.1820	272
11	30.2148	218
12	30.1897	218
13	30.1939	218
14	30.1431	217
15	30.2228	217
16	30.1521	218
17	30.2065	218
18	30.1981	218
19	30.1855	218
20	30.2228	217
21	30.2186	217
22	30.2106	218
23	30.1814	218
24	30.1855	218
25	30.1976	217
26	30.1892	217
27	30.1688	218
28	30.2023	218
29	30.1772	218
30	30.1724	217
31	30.1730	218
32	30.1814	218
33	30.2023	218
34	30.1939	218
35	30.2186	217
36	30.1772	218
37	30.1981	218
38	30.2148	218
39	30.1897	218
