Trial	Framerate	Framecount
4	29.9531	358
4	29.9678	279
10	29.9532	275
11	29.9232	222
12	29.9702	221
13	29.9353	222
14	29.9580	221
15	29.9336	221
16	29.9620	221
17	29.9580	221
18	29.9514	222
19	29.9499	221
20	29.9580	221
21	29.9742	221
22	29.9393	222
23	29.9514	222
24	24.1053	227
25	29.9417	221
26	29.9458	221
27	29.9417	221
28	29.9353	222
29	29.9539	221
30	29.9702	221
31	29.9768	220
32	29.9417	221
33	29.9434	222
34	29.9824	221
35	29.9702	221
36	29.9499	221
37	29.9580	221
38	29.9595	222
39	29.9636	222
