Trial	Framerate	Framecount
4	14.7135	114
4	14.8843	146
10	14.9033	141
11	14.9717	111
12	14.9947	113
13	14.7520	113
14	15.0114	112
15	14.9782	110
16	14.7601	112
17	14.7520	113
18	14.7611	110
19	14.6712	112
20	22.0169	162
21	28.9608	221
22	14.8606	113
23	14.8679	112
24	16.1465	119
25	15.2589	112
26	14.8581	112
27	14.9853	112
28	15.0048	110
29	15.0007	113
30	14.9701	110
31	28.7666	219
32	29.0705	218
33	29.3977	307
34	17.5890	130
35	29.3045	217
36	29.4356	218
37	29.4315	219
38	29.4316	218
39	29.4434	219
