"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","qualtricsId","responses","invalidEntries","response0","image","imageName","naming_response","Actual.Completion.Code","age","gender","education_level","languages_besides_english","language_1","language_2","language_3","language_4","other_languages","native_language","category","category_plural","typicality_subjective","animal_name","original_image_name","source","final_image_name","final_image_name_ext","image_experiment_name","image_path"
"[{""page_index"":0,""viewing_time"":8247}]",8248,"instructions",0,8299,"0.0-0.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","",NA,"","","","","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3261,"survey-text-columnResponse",1,11563,"0.0-1.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""giraffe""}",0,"giraffe","lib/images/giraffe.jpg","giraffe.jpg","giraffe","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",2560,"survey-text-columnResponse",2,14329,"0.0-2.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""dog""}",0,"dog","lib/images/rottweiler_600x600.jpg","rottweiler","dog","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","dog","dogs","typical","rottweiler","rottweiler_mz_2","https://commons.wikimedia.org/wiki/File:02_I_Exposici%C3%B3n_Monogr%C3%A1fica_Club_Rottweiler_de_Espa%C3%B1a_-_Santa_Brigida_-_Gran_Canaria.jpg","rottweiler","_600x600.jpg","rottweiler_600x600.jpg","../images/rottweiler_600x600.jpg"
"",1365,"survey-text-columnResponse",3,15897,"0.0-3.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""fish""}",0,"fish","lib/images/clownfish_600x600.jpg","clownfish","fish","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","fish","fish","typical","clownfish","clownfish_mz","https://unsplash.com/photos/rEM3cK8F1pk","clownfish","_600x600.jpg","clownfish_600x600.jpg","../images/clownfish_600x600.jpg"
"",1365,"survey-text-columnResponse",4,17465,"0.0-4.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""cat""}",0,"cat","lib/images/toyger_600x600.jpg","toyger","cat","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","cat","cats","typical","toyger","toyger_mz_2","https://www.flickr.com/photos/erlon10/8088944726","toyger","_600x600.jpg","toyger_600x600.jpg","../images/toyger_600x600.jpg"
"",1129,"survey-text-columnResponse",5,18800,"0.0-5.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""owl""}",0,"owl","lib/images/owl_600x600.jpg","owl","owl","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","bird","birds","atypical","owl","owl_boss","BOSS","owl","_600x600.jpg","owl_600x600.jpg","../images/owl_600x600.jpg"
"",1511,"survey-text-columnResponse",6,20514,"0.0-6.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""horse""}",0,"horse","lib/images/horse.jpg","horse.jpg","horse","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",3079,"survey-text-columnResponse",7,23800,"0.0-7.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""catfish""}",0,"catfish","lib/images/catfish_600x600.jpg","catfish","catfish","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","fish","fish","atypical","catfish","catfish_hw","https://commons.wikimedia.org/wiki/File:Blue_catfish_tenn_aquarium.JPG","catfish","_600x600.jpg","catfish_600x600.jpg","../images/catfish_600x600.jpg"
"",2778,"survey-text-columnResponse",8,26783,"0.0-8.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""blue jay""}",0,"blue jay","lib/images/bluejay_600x600.jpg","bluejay","blue jay","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","bird","birds","typical","bluejay","bluejay_boss","BOSS","bluejay","_600x600.jpg","bluejay_600x600.jpg","../images/bluejay_600x600.jpg"
"",3405,"survey-text-columnResponse",9,30393,"0.0-9.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""cat""}",0,"cat","lib/images/americancurl_600x600.jpg","americancurl","cat","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","cat","cats","atypical","American Curl","americancurl_mz_1","https://commons.wikimedia.org/wiki/File:American_curl_fond_blanc.jpg","americancurl","_600x600.jpg","americancurl_600x600.jpg","../images/americancurl_600x600.jpg"
"",1824,"survey-text-columnResponse",10,32423,"0.0-10.0","p100257","3,0,0,8,7,6,1,4","R_2xSplCfTAKiGsVH","{""Q0"":""dog""}",0,"dog","lib/images/yorkshireterrier_600x600.jpg","yorkshireterrier","dog","wCZhbNgNAMINALPuLPFTxgxV","35","Male","Bachelor's Degree","No","","","","","","","dog","dogs","atypical","yorkshire terrier","yorkshireterrier_hw","https://pixabay.com/photos/yorkshire-terrier-terrier-dog-361730/","yorkshireterrier","_600x600.jpg","yorkshireterrier_600x600.jpg","../images/yorkshireterrier_600x600.jpg"
"[{""page_index"":0,""viewing_time"":367792}]",367794,"instructions",0,367809,"0.0-0.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","",NA,"","","","","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",7669,"survey-text-columnResponse",1,375486,"0.0-1.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""horse""}",0,"horse","lib/images/horse.jpg","horse.jpg","horse","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",5850,"survey-text-columnResponse",2,381541,"0.0-2.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""cat""}",0,"cat","lib/images/arabianmau_600x600.jpg","arabianmau","cat","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","cat","cats","typical","mau","arabianmau_mz_1","https://commons.wikimedia.org/wiki/File:Arabian_Mau1.jpg","arabianmau","_600x600.jpg","arabianmau_600x600.jpg","../images/arabianmau_600x600.jpg"
"",6412,"survey-text-columnResponse",3,388157,"0.0-3.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""dog""}",0,"dog","lib/images/afghanhound_600x600.jpg","afghanhound","dog","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","dog","dogs","atypical","afghan hound","afghanhound_mz_1","https://commons.wikimedia.org/wiki/File:Arabian_Hound_001_U.jpg","afghanhound","_600x600.jpg","afghanhound_600x600.jpg","../images/afghanhound_600x600.jpg"
"",44803,"survey-text-columnResponse",4,433165,"0.0-4.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""bird""}",0,"bird","lib/images/cedarwaxwing_600x600.jpg","cedarwaxwing","bird","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","bird","birds","typical","cedar wax wing","cedarwaxwing_boss","BOSS","cedarwaxwing","_600x600.jpg","cedarwaxwing_600x600.jpg","../images/cedarwaxwing_600x600.jpg"
"",6379,"survey-text-columnResponse",5,439749,"0.0-5.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""cat""}",0,"cat","lib/images/siamese_600x600.jpg","siamese","cat","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english","cat","cats","atypical","siamese","siamesecat_hw_2","https://pixabay.com/photos/cat-siamese-cat-fur-kitten-2068462/","siamese","_600x600.jpg","siamese_600x600.jpg","../images/siamese_600x600.jpg"
"",118608,"survey-text-columnResponse",6,558562,"0.0-6.0","p102430","2,2,5,6,0,1,0,2","R_2tm669lq18dmIOn","{""Q0"":""jiraffe""}",0,"jiraffe","lib/images/giraffe.jpg","giraffe.jpg","jiraffe","TXmgOYWNAMINALUslvjFHlVb","40","Male","Bachelor's Degree","Yes","English","","","","","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
